productId,제목,가격,개수,용량(ml),타겟,URL,평점,리뷰수,향/냄새 만족도(%),지속력 만족도(%)
12824388367,(신세계 강남점)바카라 루쥬 540 엑스트레 드 퍼퓸,530100,1,70,여성,https://smartstore.naver.com/main/products/2162071101,4.92,25.0,80.0,76.0
84908181752,메종 마르지엘라 레플리카 레이지 선데이 모닝 오드뚜왈렛 EDT,138700,1,100,공용,https://smartstore.naver.com/main/products/7363681430,4.89,175.0,79.0,51.0
13342169464,존바바토스 향수 아티산 블루 오드뚜왈렛 EDT,37900,1,75,남성,https://smartstore.naver.com/main/products/2450859892,4.81,3813.0,62.0,50.0
80655531826,베르사체 향수 브라이트 크리스탈 오드뚜왈렛 EDT,34000,1,30,여성,https://smartstore.naver.com/main/products/3157787497,4.73,736.0,64.0,52.0
84391676364,지미추 우먼 향수 오드뚜왈렛 EDT,52400,1,100,여성,https://smartstore.naver.com/main/products/6847176042,4.83,519.0,75.0,55.0
89123208476,딥디크 플레르드뽀 EDP 오드 퍼퓸,158470,1,75,공용,https://smartstore.naver.com/main/products/11578698070,4.96,27.0,89.0,82.0
12193583639,랑방 향수 루머2 로즈 우먼 오드퍼퓸 EDP,36100,1,100,여성,https://smartstore.naver.com/main/products/2160773511,4.75,948.0,65.0,49.0
11933607386,디스센스 프리지아 비누향 승무원 베이비파우더 살냄새 재현 니치향수,39900,1,30,여성,https://smartstore.naver.com/main/products/2081439252,4.63,4068.0,60.0,53.0
88083210036,에이센트 디스커버리 퍼퓸 미니향수 세트  x 3종,1000,1,2,공용,https://smartstore.naver.com/main/products/10538704553,4.8,847.0,65.0,55.0
83457128464,피렌체 1221 에디션 오드코롱  12종 택1,199500,1,100,여성,https://smartstore.naver.com/main/products/5912628976,4.88,466.0,78.0,46.0
13112563098,제니퍼로페즈 글로우 바이 제이로 EDT,43500,1,100,여성,https://smartstore.naver.com/main/products/2394268798,4.68,44.0,62.0,55.0
89305402681,조르지오 아르마니 프리베 향수 베르 말라키트 오드퍼퓸  손석구향수 국내배송,248900,1,100,여성,https://smartstore.naver.com/main/products/11760892094,,,,
82504505402,지미추 로 향수 오드뚜왈렛 EDT,31500,1,40,여성,https://smartstore.naver.com/main/products/4959985192,4.79,258.0,66.0,52.0
80539418393,다비도프 향수 쿨워터 맨 오드뚜왈렛 EDT,39800,1,125,남성,https://smartstore.naver.com/main/products/3041674287,4.82,1906.0,69.0,48.0
89379956103, 몽블랑 향수 익스플로러 오드퍼퓸 EDP,67800,1,100,남성,https://smartstore.naver.com/main/products/11835445509,4.5,4.0,50.0,75.0
82950943705,몽블랑 향수 익스플로러 오드퍼퓸 EDP,67800,1,100,남성,https://smartstore.naver.com/main/products/5406450025,4.81,185.0,67.0,60.0
11849073125,버버리 위크앤드 포맨 오드뚜왈렛 EDT,43700,1,100,남성,https://smartstore.naver.com/main/products/2056237148,4.8,2109.0,67.0,52.0
85781781771,생화 장미향수 오드퍼퓸 로즈 니치향수  백화점 명품 생장미향 향수 로즈온어플래닛,55000,1,50,여성,https://smartstore.naver.com/main/products/8237281448,4.84,62.0,78.0,60.0
82229752329,랑방 향수 메리미 우먼 오드퍼퓸 EDP,29800,1,75,여성,https://smartstore.naver.com/main/products/4685231611,4.66,122.0,60.0,54.0
82500167441,클린 웜코튼 향수 오드퍼퓸 EDP,27700,1,30,공용,https://smartstore.naver.com/main/products/4955647233,4.77,3907.0,62.0,52.0
81289452460,나르시소 향수 로드리게즈 포 허 오드퍼퓸 EDP,58000,1,30,여성,https://smartstore.naver.com/main/products/3744934498,4.63,152.0,75.0,58.0
80600801765,파코라반 원밀리언 오드뚜왈렛 EDT,114800,1,100,남성,https://smartstore.naver.com/main/products/3103057517,4.79,2422.0,69.0,64.0
89266131218, 샤넬 샹스 오 스플렌디드 오 드 빠르펭 여성 향수,191000,1,50,여성,https://smartstore.naver.com/main/products/11721620719,4.91,11.0,91.0,91.0
82229775978,제니퍼로페즈 향수 글로우바이제이로 오드뚜왈렛 EDT,49900,1,100,여성,https://smartstore.naver.com/main/products/4685255260,4.76,63.0,67.0,48.0
82718118105,입생로랑 향수 리브르 오드 빠르펭 EDP,109000,1,30,여성,https://smartstore.naver.com/main/products/5173596961,4.86,702.0,70.0,64.0
83222641015,산타마리아노벨라 프리지아 향수,139990,1,100,여성,https://smartstore.naver.com/main/products/5678143412,4.8,601.0,68.0,47.0
83914159268,아리아나그란데 향수 아리 바이 아리아나그란데 오드퍼퓸 EDP,55400,1,100,여성,https://smartstore.naver.com/main/products/6369658935,4.95,164.0,75.0,61.0
82879775681,마크제이콥스 향수 데이지 오드뚜왈렛 EDT,89900,1,100,여성,https://smartstore.naver.com/main/products/5335282864,4.75,194.0,69.0,49.0
80034970240,베르사체 향수 브라이트 크리스탈 오드뚜왈렛 EDT,68900,1,90,여성,https://smartstore.naver.com/main/products/2537226710,4.81,2481.0,68.0,51.0
87458449015,엔젤스쉐어  니치 코냑향수 시나몬향수 빈향수 샌달우드 바닐라 오크 섹시한향,19900,1,30,여성,https://smartstore.naver.com/main/products/9913946742,4.83,241.0,72.0,50.0
88546998587,포맨트코튼허그 시그니처 퍼퓸 블랙 남자 향수 비누향 포멘트,43000,1,50,남성,https://smartstore.naver.com/main/products/11002492491,4.6,5.0,60.0,60.0
83144152399,불가리 블루 뿌르옴므 오드뚜왈렛 EDT,148900,1,100,남성,https://smartstore.naver.com/main/products/5599656045,4.81,1855.0,70.0,55.0
89191944593,NEW 탬버린즈 퍼퓸 보타리  블랙,78000,1,11,공용,https://smartstore.naver.com/main/products/11647434127,4.93,29.0,80.0,59.0
