productId,제목,가격,개수,용량(ml),타겟,URL
87608350139,912 클론 니치향수 블랙베리 앤 베이 EDP  지속력좋은 여자 향수 은은한 우디 프루티 승무원 살냄새 명품 타입,12900,1,40,여성,https://smartstore.naver.com/main/products/10063847515
12824388367,(신세계 강남점)바카라 루쥬 540 엑스트레 드 퍼퓸,530100,1,70,여성,https://smartstore.naver.com/main/products/2162071101
84908181752,메종 마르지엘라 레플리카 레이지 선데이 모닝 오드뚜왈렛 EDT,138700,1,100,공용,https://smartstore.naver.com/main/products/7363681430
13342169464,존바바토스 향수 아티산 블루 오드뚜왈렛 EDT,37900,1,75,남성,https://smartstore.naver.com/main/products/2450859892
80655531826,베르사체 향수 브라이트 크리스탈 오드뚜왈렛 EDT,34000,1,30,여성,https://smartstore.naver.com/main/products/3157787497
84391676364,지미추 우먼 향수 오드뚜왈렛 EDT,52400,1,100,여성,https://smartstore.naver.com/main/products/6847176042
89123208476,딥디크 플레르드뽀 EDP 오드 퍼퓸,158470,1,75,공용,https://smartstore.naver.com/main/products/11578698070
12193583639,랑방 향수 루머2 로즈 우먼 오드퍼퓸 EDP,36100,1,100,여성,https://smartstore.naver.com/main/products/2160773511
11933607386,디스센스 프리지아 비누향 승무원 베이비파우더 살냄새 재현 니치향수,39900,1,30,여성,https://smartstore.naver.com/main/products/2081439252
88083210036,에이센트 디스커버리 퍼퓸 미니향수 세트  x 3종,1000,1,2,공용,https://smartstore.naver.com/main/products/10538704553
83457128464,피렌체 1221 에디션 오드코롱  12종 택1,199500,1,100,여성,https://smartstore.naver.com/main/products/5912628976
13112563098,제니퍼로페즈 글로우 바이 제이로 EDT,43500,1,100,여성,https://smartstore.naver.com/main/products/2394268798
89305402681,조르지오 아르마니 프리베 향수 베르 말라키트 오드퍼퓸  손석구향수 국내배송,248900,1,100,여성,https://smartstore.naver.com/main/products/11760892094
82504505402,지미추 로 향수 오드뚜왈렛 EDT,31500,1,40,여성,https://smartstore.naver.com/main/products/4959985192
80539418393,다비도프 향수 쿨워터 맨 오드뚜왈렛 EDT,39800,1,125,남성,https://smartstore.naver.com/main/products/3041674287
89379956103, 몽블랑 향수 익스플로러 오드퍼퓸 EDP,67800,1,100,남성,https://smartstore.naver.com/main/products/11835445509
82950943705,몽블랑 향수 익스플로러 오드퍼퓸 EDP,67800,1,100,남성,https://smartstore.naver.com/main/products/5406450025
11849073125,버버리 위크앤드 포맨 오드뚜왈렛 EDT,43700,1,100,남성,https://smartstore.naver.com/main/products/2056237148
85781781771,생화 장미향수 오드퍼퓸 로즈 니치향수  백화점 명품 생장미향 향수 로즈온어플래닛,55000,1,50,여성,https://smartstore.naver.com/main/products/8237281448
82229752329,랑방 향수 메리미 우먼 오드퍼퓸 EDP,29800,1,75,여성,https://smartstore.naver.com/main/products/4685231611
82500167441,클린 웜코튼 향수 오드퍼퓸 EDP,27700,1,30,공용,https://smartstore.naver.com/main/products/4955647233
81289452460,나르시소 향수 로드리게즈 포 허 오드퍼퓸 EDP,58000,1,30,여성,https://smartstore.naver.com/main/products/3744934498
80600801765,파코라반 원밀리언 오드뚜왈렛 EDT,114800,1,100,남성,https://smartstore.naver.com/main/products/3103057517
89266131218, 샤넬 샹스 오 스플렌디드 오 드 빠르펭 여성 향수,191000,1,50,여성,https://smartstore.naver.com/main/products/11721620719
82229775978,제니퍼로페즈 향수 글로우바이제이로 오드뚜왈렛 EDT,49900,1,100,여성,https://smartstore.naver.com/main/products/4685255260
82718118105,입생로랑 향수 리브르 오드 빠르펭 EDP,109000,1,30,여성,https://smartstore.naver.com/main/products/5173596961
83222641015,산타마리아노벨라 프리지아 향수,139990,1,100,여성,https://smartstore.naver.com/main/products/5678143412
83914159268,아리아나그란데 향수 아리 바이 아리아나그란데 오드퍼퓸 EDP,55400,1,100,여성,https://smartstore.naver.com/main/products/6369658935
82879775681,마크제이콥스 향수 데이지 오드뚜왈렛 EDT,89900,1,100,여성,https://smartstore.naver.com/main/products/5335282864
80034970240,베르사체 향수 브라이트 크리스탈 오드뚜왈렛 EDT,68900,1,90,여성,https://smartstore.naver.com/main/products/2537226710
87458449015,엔젤스쉐어  니치 코냑향수 시나몬향수 빈향수 샌달우드 바닐라 오크 섹시한향,19900,1,30,여성,https://smartstore.naver.com/main/products/9913946742
88546998587,포맨트코튼허그 시그니처 퍼퓸 블랙 남자 향수 비누향 포멘트,43000,1,50,남성,https://smartstore.naver.com/main/products/11002492491
83144152399,불가리 블루 뿌르옴므 오드뚜왈렛 EDT,148900,1,100,남성,https://smartstore.naver.com/main/products/5599656045
89191944593,NEW 탬버린즈 퍼퓸 보타리  블랙,78000,1,11,공용,https://smartstore.naver.com/main/products/11647434127
82951042424,니치향수 유쏘풀 베리섹시  10대 20대여성향수,58000,1,50,여성,https://smartstore.naver.com/main/products/5406548744
85636508362, 이솝 테싯 오 드 퍼퓸  향수 선물포장,97900,1,50,공용,https://smartstore.naver.com/main/products/8092008039
86932186166, 블루 드 샤넬 오드 빠르펭 퍼퓸 향수,135800,1,50,남성,https://smartstore.naver.com/main/products/9387685843
84473670328, 톰포드 네롤리 포르토피노 오 드 퍼퓸,259000,1,30,공용,https://smartstore.naver.com/main/products/6929170006
80993658959,지미추 향수 블라썸 오드퍼퓸 EDP,33800,1,40,여성,https://smartstore.naver.com/main/products/3449141863
88459306950,밤쉘 퓨어 오일 퍼퓸 블렌디크,8400,1,1,공용,https://smartstore.naver.com/main/products/10914800915
88758994887, 샤넬 넘버5 NO5 오드빠르펭 여성향수,133900,1,35,여성,https://smartstore.naver.com/main/products/11214484556
88101362995,끌로에 향수세트 오드퍼퓸 EDP +바디로션 100ml,87900,1,50,여성,https://smartstore.naver.com/main/products/10556857512
