개수,평점,리뷰수,향/냄새 만족도(%),지속력 만족도(%),총 용량,타겟_공용,타겟_남성,100ml당 가격
1,4.76,1178,67,51,30,0.0,0.0,10000
1,4.83,598,75,58,20,0.0,0.0,100000
1,4.89,184,70,53,30,0.0,0.0,280000
1,4.83,226,72,48,125,0.0,1.0,28800
1,4.82,175,72,47,90,0.0,0.0,44888
1,4.83,48,69,59,10,0.0,0.0,550000
1,4.79,34,68,50,50,0.0,0.0,136000
1,4.79,1770,69,61,100,0.0,0.0,56500
1,4.76,139,65,48,30,0.0,0.0,39666
1,4.81,783,74,55,50,0.0,1.0,76000
1,4.9,4609,84,60,10,1.0,0.0,590000
1,4.93,15,60,47,50,0.0,0.0,296020
1,4.91,419,79,52,50,0.0,0.0,116000
1,4.8,493,71,51,100,0.0,1.0,45000
1,5.0,3,67,67,50,0.0,0.0,86000
1,4.88,1135,77,50,60,0.0,0.0,102916
1,4.95,22,100,64,100,0.0,0.0,117600
1,4.63,24,75,46,100,0.0,0.0,195800
1,4.25,8,63,50,50,0.0,1.0,69120
1,4.79,644,68,52,40,0.0,0.0,101250
2,4.66,521,64,57,60,1.0,0.0,74666
1,4.73,703,63,54,100,0.0,0.0,49000
1,4.72,1134,68,54,30,0.0,0.0,66333
2,4.72,443,60,51,60,0.0,0.0,45000
1,4.82,96,69,61,125,1.0,0.0,87920
1,4.81,16,88,50,100,0.0,0.0,134900
1,4.9,63,83,56,100,1.0,0.0,44800
1,4.78,110,74,56,50,1.0,0.0,304200
1,4.74,3277,65,51,100,0.0,0.0,64400
1,4.79,7251,68,52,10,1.0,0.0,109000
1,4.82,496,68,51,30,0.0,0.0,113333
1,4.84,32,82,69,15,0.0,0.0,586666
1,4.81,58,75,50,100,0.0,0.0,144750
1,4.9,20,70,70,60,0.0,0.0,139800
1,4.67,30,67,54,30,0.0,1.0,150666
1,4.74,62,78,60,50,1.0,0.0,59800
1,4.75,93,75,52,10,1.0,0.0,493900
1,4.73,373,61,53,75,0.0,1.0,50533
1,4.9,324,77,48,30,0.0,0.0,405000
1,4.93,1068,76,55,30,1.0,0.0,324000
1,4.77,270,59,58,30,0.0,0.0,99666
1,4.88,144,73,57,50,1.0,0.0,194000
1,5.0,8,63,63,50,0.0,1.0,69000
1,4.81,241,69,45,100,0.0,0.0,33900
1,4.85,784,68,56,30,0.0,1.0,110000
1,4.72,544,63,62,75,0.0,1.0,49200
1,4.86,636,81,50,100,0.0,0.0,280000
1,4.82,116,63,53,100,0.0,1.0,44900
1,4.67,1698,55,53,30,1.0,0.0,33333
1,5.0,3,100,67,30,0.0,0.0,266000
1,4.72,18,78,67,85,0.0,0.0,162235
1,4.89,36,62,70,6,1.0,0.0,725000
1,4.79,828,73,51,15,1.0,0.0,288000
1,5.0,4,100,100,100,1.0,0.0,477000
1,4.73,1917,61,51,50,0.0,1.0,96000
1,5.0,5,100,60,50,0.0,0.0,104000
1,5.0,9,100,89,75,1.0,0.0,211293
1,3.0,1,100,100,100,0.0,0.0,131200
1,4.9,10,60,90,10,0.0,0.0,419000
1,4.74,1916,63,56,100,0.0,1.0,43700
1,4.62,139,58,57,30,0.0,0.0,33333
1,5.0,7,100,100,100,1.0,0.0,148400
1,5.0,8,75,75,90,0.0,0.0,107666
1,4.86,987,78,49,50,1.0,0.0,44000
1,4.61,109,61,65,30,0.0,0.0,88333
1,4.84,149,74,51,100,0.0,0.0,54000
1,4.92,157,82,51,100,0.0,0.0,39900
1,4.69,1673,54,59,2,0.0,0.0,50000
1,4.89,162,88,57,20,0.0,0.0,215000
1,4.71,82,50,54,5,0.0,0.0,150000
1,4.67,12,59,50,5,0.0,0.0,300000
1,5.0,12,92,50,60,0.0,1.0,36700
1,4.83,1869,73,52,30,0.0,0.0,134000
2,4.78,598,70,53,60,1.0,0.0,37833
1,4.88,16,63,57,50,1.0,0.0,236000
1,4.62,257,53,53,30,0.0,0.0,33333
1,4.59,373,56,54,15,0.0,0.0,39333
